salary_in_usd,experience_level,employment_type,employee_residence,remote_ratio,job_super_title,continent,company_size
200000,SE,FT,GB,100,Data Analyst,Europe,S
74378,EN,FT,CA,100,Data Scientist,Americas,L
165000,SE,FT,US,50,Data Scientist,Americas,S
33599,EN,FT,GB,50,Data Scientist,Europe,L
185900,SE,FT,US,0,Data Engineer,Americas,M
129300,SE,FT,US,0,Data Engineer,Americas,M
169000,SE,FT,US,0,Data Analyst,Americas,M
110600,SE,FT,US,0,Data Analyst,Americas,M
5409,EN,FT,IN,50,Software Engineer,Asia,L
75050,MI,FT,AU,50,Data Engineer,Oceania,L
225000,SE,FT,US,0,Data Engineer,Americas,M
184100,SE,FT,US,0,Data Engineer,Americas,M
185900,SE,FT,US,0,Data Scientist,Americas,M
129300,SE,FT,US,0,Data Scientist,Americas,M
225000,SE,FT,US,0,Data Scientist,Americas,M
156400,SE,FT,US,0,Data Scientist,Americas,M
185900,SE,FT,US,0,Data Scientist,Americas,M
129300,SE,FT,US,0,Data Scientist,Americas,M
108000,EN,FT,US,0,Machine Learning Engineer,Americas,S
8000,SE,FT,IN,100,Data Scientist,Asia,L
155000,SE,FT,US,100,Data Scientist,Americas,M
38000,SE,FT,US,100,Data Scientist,Americas,M
85000,MI,FT,US,0,Data Analyst,Americas,M
65000,MI,FT,US,0,Data Analyst,Americas,M
155000,SE,FT,US,100,Data Scientist,Americas,M
38000,SE,FT,US,100,Data Scientist,Americas,M
111998,MI,FT,GB,0,Data Engineer,Europe,M
93332,MI,FT,GB,0,Data Engineer,Europe,M
153600,SE,FT,US,100,Data Scientist,Americas,M
106800,SE,FT,US,100,Data Scientist,Americas,M
185000,SE,FT,US,100,Data Scientist,Americas,M
50000,SE,FT,US,100,Data Scientist,Americas,M
185900,SE,FT,US,0,Data Engineer,Americas,M
129300,SE,FT,US,0,Data Engineer,Americas,M
155000,SE,FT,US,100,Data Scientist,Americas,M
38000,SE,FT,US,100,Data Scientist,Americas,M
168000,SE,FT,US,100,Data Scientist,Americas,M
130000,SE,FT,US,100,Data Scientist,Americas,M
123400,SE,FT,US,0,Data Scientist,Americas,M
88100,SE,FT,US,0,Data Scientist,Americas,M
120000,SE,FT,US,100,Data Scientist,Americas,S
55000,SE,FT,US,100,Data Scientist,Americas,S
185900,SE,FT,US,0,Data Scientist,Americas,M
129300,SE,FT,US,0,Data Scientist,Americas,M
191200,SE,FT,US,0,Data Engineer,Americas,M
130000,SE,FT,US,0,Data Engineer,Americas,M
169000,SE,FT,US,0,Data Analyst,Americas,M
110600,SE,FT,US,0,Data Analyst,Americas,M
150000,SE,FT,US,0,Engineer,Americas,M
120000,SE,FT,US,0,Engineer,Americas,M
139000,SE,FT,US,0,Data Scientist,Americas,M
122000,SE,FT,US,0,Data Scientist,Americas,M
185900,SE,FT,US,0,Data Scientist,Americas,M
129300,SE,FT,US,0,Data Scientist,Americas,M
139600,SE,FT,US,0,Data Analyst,Americas,M
85700,SE,FT,US,0,Data Analyst,Americas,M
185000,SE,FT,US,100,Data Engineer,Americas,M
50000,SE,FT,US,100,Data Engineer,Americas,M
185900,SE,FT,US,0,Data Engineer,Americas,M
129300,SE,FT,US,0,Data Engineer,Americas,M
225000,SE,FT,US,0,Data Scientist,Americas,M
156400,SE,FT,US,0,Data Scientist,Americas,M
200000,SE,FT,US,100,Data Scientist,Americas,M
175000,SE,FT,US,100,Data Scientist,Americas,M
185900,SE,FT,US,0,Data Engineer,Americas,M
129300,SE,FT,US,0,Data Engineer,Americas,M
148500,MI,FT,US,100,Machine Learning Engineer,Americas,L
98200,MI,FT,US,100,Machine Learning Engineer,Americas,L
115000,SE,FT,US,100,Data Analyst,Americas,M
95000,SE,FT,US,100,Data Analyst,Americas,M
225000,SE,FT,US,100,Architect,Americas,M
66000,SE,FT,US,100,Architect,Americas,M
185000,SE,FT,US,100,Data Scientist,Americas,M
50000,SE,FT,US,100,Data Scientist,Americas,M
